Cell Total WBC x10^9/L,,,,,,Neutrophils %,,,,,,Lymphocytes %,,,,,,Monocytes %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uninfected,Time,,H3N2 Infected,Time,,Uninfected,Time,10^9 cells/mL,H3N2 Infected,Time,cells/mL,Uninfected,Time,10^9 cells/mL,H3N2 Infected,Time,10^9 cells/mL,Uninfected,Time,10^9 cells/mL,H3N2 Infected,Time,10^9 cells/L,cells/mL,,,,,,,,,,,,,,,,,,,,,,,
7.436147306,-1,,5.808863831,-1,5.808863831,56.93570144,-1,,58.88625748,-1,0.003420623,32.84166558,-1,,32.0399614,-1,0.001861158,7.059731487,-1,,7.626492233,-1,0.443012549,0.000443013,,,,,,,,,,,,,,,,,,,,,,,
9.55747479,top sd,,6.665833198,top sd,6.665833198,60.38152859,top sd,,69.6431783,top sd,,36.40647776,top sd,,39.30609805,top sd,,8.17405843,top sd,,10.12772956,top sd,0.675097559,,,,,,,,,,,,,,,,,,,,,,,,
5.274335618,bottom sd,,4.925952803,bottom sd,4.925952803,53.57320354,bottom sd,,47.77088125,bottom sd,,29.11164249,bottom sd,,24.67514841,bottom sd,,5.921515678,bottom sd,,5.004871712,bottom sd,0.246537618,,,,,,,,,,,,,,,,,,,,,,,,
5.904742451,0,,4.670602852,0,4.670602852,50.26796539,0,,53.08672834,0,0.00247947,38.26999468,0,,35.85947431,0,0.001674854,7.959788861,0,,8.933912152,0,0.417267556,0.000417268,,,,,,,,,,,,,,,,,,,,,,,
8.594461544,top sd,,5.816426888,top sd,5.816426888,53.22219656,top sd,,63.86040812,top sd,,42.44752886,top sd,,40.97822576,top sd,,9.178746952,top sd,,10.98564238,top sd,0.638971857,,,,,,,,,,,,,,,,,,,,,,,,
3.388889097,bottom sd,,3.398404068,bottom sd,3.398404068,47.26625052,bottom sd,,41.98718002,bottom sd,,34.16481073,bottom sd,,31.02500472,bottom sd,,6.844836009,bottom sd,,6.628480075,bottom sd,0.225262537,,,,,,,,,,,,,,,,,,,,,,,,
6.298746809,1,,5.748767513,1,5.748767513,52.42661177,1,,67.78014125,1,0.003896523,35.32126085,1,,20.75460972,1,0.001193134,8.366003906,1,,9.288698328,1,0.533985672,0.000533986,,,,,,,,,,,,,,,,,,,,,,,
7.549232729,top sd,,6.607850929,top sd,6.607850929,55.4716206,top sd,,78.20327957,top sd,,38.8032814,top sd,,26.28820457,top sd,,9.668520871,top sd,,11.70136951,top sd,0.773209054,,,,,,,,,,,,,,,,,,,,,,,,
4.929205993,bottom sd,,4.948154169,bottom sd,4.948154169,49.29967027,bottom sd,,57.11260151,bottom sd,,31.24404471,bottom sd,,15.06528078,bottom sd,,6.970017841,bottom sd,,6.7702485,bottom sd,0.335002333,,,,,,,,,,,,,,,,,,,,,,,,
5.869123683,2,,4.952057299,2,4.952057299,49.51660562,2,,63.63341975,2,0.003151163,38.57542219,2,,21.52522498,2,0.001065941,8.305290718,2,,12.64962189,2,0.626416524,0.000626417,,,,,,,,,,,,,,,,,,,,,,,
7.24460061,top sd,,6.249791008,top sd,6.249791008,52.18360694,top sd,,74.21608201,top sd,,42.89877389,top sd,,30.59069455,top sd,,9.572026542,top sd,,15.09254534,top sd,0.943252542,,,,,,,,,,,,,,,,,,,,,,,,
4.417529085,bottom sd,,3.571050297,bottom sd,3.571050297,46.27281697,bottom sd,,52.85809169,bottom sd,,34.4329461,bottom sd,,12.32281681,bottom sd,,6.917858744,bottom sd,,10.23204775,bottom sd,0.365391572,,,,,,,,,,,,,,,,,,,,,,,,
6.231331335,3,,4.108587799,3,4.108587799,50.23817169,3,,53.29655413,3,0.002189736,37.5360771,3,,29.95366156,3,0.001230672,8.033646142,3,,14.37702685,3,0.590692771,0.000590693,,,,,,,,,,,,,,,,,,,,,,,
7.740419699,top sd,,5.028743841,top sd,5.028743841,53.36232003,top sd,,67.08251851,top sd,,41.54765569,top sd,,33.92420969,top sd,,9.274824008,top sd,,17.27769854,top sd,0.868851201,,,,,,,,,,,,,,,,,,,,,,,,
4.716468296,bottom sd,,3.104425361,bottom sd,3.104425361,47.25647447,bottom sd,,39.19924735,bottom sd,,33.2186934,bottom sd,,25.76595834,bottom sd,,6.783079638,bottom sd,,11.45997721,bottom sd,0.355766439,,,,,,,,,,,,,,,,,,,,,,,,
5.99826242,4,,4.114036107,4,4.114036107,49.93464842,4,,51.69267001,4,0.002126655,37.95338108,4,,32.86125737,4,0.001351924,7.881237261,4,,12.81298418,4,0.527130796,0.000527131,,,,,,,,,,,,,,,,,,,,,,,
7.127334796,top sd,,4.789007108,top sd,4.789007108,53.02574437,top sd,,69.64724401,top sd,,42.01269846,top sd,,39.82901554,top sd,,9.134203083,top sd,,15.85250338,top sd,0.759177514,,,,,,,,,,,,,,,,,,,,,,,,
4.794781084,bottom sd,,3.405397554,bottom sd,3.405397554,46.99019331,bottom sd,,33.63133101,bottom sd,,33.74601737,bottom sd,,25.72366848,bottom sd,,6.645901214,bottom sd,,9.680621781,bottom sd,0.329663657,,,,,,,,,,,,,,,,,,,,,,,,
6.045022404,5,,3.803549642,5,3.803549642,48.72846926,5,,45.45141986,5,0.001728767,38.46615739,5,,41.1890038,5,0.001566644,8.727466447,5,,11.45851675,5,0.435830373,0.00043583,,,,,,,,,,,,,,,,,,,,,,,
7.476693219,top sd,,4.501371948,top sd,4.501371948,51.55468064,top sd,,57.47509687,top sd,,42.54971387,top sd,,48.56690651,top sd,,10.07838705,top sd,,13.80525883,top sd,0.621426048,,,,,,,,,,,,,,,,,,,,,,,,
4.499989604,bottom sd,,3.15012867,bottom sd,3.15012867,,bottom sd,,33.14222248,bottom sd,,34.12789092,bottom sd,,33.62281051,bottom sd,,7.274522648,bottom sd,,9.027485571,bottom sd,0.284377411,,,,,,,,,,,,,,,,,,,,,,,,
6.229623323,6,,4.16860305,6,4.16860305,51.96015422,6,,44.90272427,6,0.001871816,36.11597025,6,,43.46627929,6,0.001811937,8.314366401,6,,9.347429471,6,0.38965723,0.000389657,,,,,,,,,,,,,,,,,,,,,,,
7.615346927,top sd,,4.800229392,top sd,4.800229392,55.06940571,top sd,,54.25987733,top sd,,40.04587949,top sd,,52.91604959,top sd,,9.657671778,top sd,,11.1864549,top sd,0.536975496,,,,,,,,,,,,,,,,,,,,,,,,
4.79193463,bottom sd,,3.5802396,bottom sd,3.5802396,48.80714324,bottom sd,,35.7014868,bottom sd,,32.10103007,bottom sd,,33.6604015,bottom sd,,6.966992613,bottom sd,,7.470327897,bottom sd,0.267455638,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Total WBC x10^9/L,,,,,,Neutrophils %,,,,,,Lymphocytes %,,,,,,Monocytes %,,,,,,,Cell Total WBC x10^9/L,,,,,,Neutrophils x10^9/L,,,,,,Lymphocytes x10^9/L,,,,,,Monocytes x10^9/L,,,,
Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,,,,Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,
7.436147306,-1,7.436147306,5.808863831,-1,,56.93570144,-1,,58.88625748,-1,,32.84166558,-1,,32.0399614,-1,,7.059731487,-1,,7.626492233,-1,,,7.436147306,-1,,5.808863831,-1,,4.233822629,-1,,3.420622512,,,2.44215463,-1,,1.861157729,-1,,0.524972033,-1,,0.443012549,-1
