Cytokine,Cohort 1,Cohort 2,P-Value,Sex Counts Cohort 1,Sex Counts Cohort 2,Mean Cohort 1,Mean Cohort 2,P-Value Adjusted,Significant
EGF.N,Taiwan,SHIVERS,9.017806159533413e-79,"{'Female': 112, 'Male': 80}",{},1.3030642308914617,4.342945178152237e-11,2.0199885797354845e-75,True
EGF.N,Taiwan,PICFLU,2.1199164022766107e-06,"{'Female': 112, 'Male': 80}",{},1.3030642308914617,0.879700823389713,0.004748612741099608,True
EGF.N,Taiwan,Nicaragua,1.3517575087720043e-88,"{'Female': 112, 'Male': 80}",{},1.3030642308914617,0.20486797059858383,3.02793681964929e-85,True
EGF.N,Taiwan,Memphis,1.0834000526339852e-06,"{'Female': 112, 'Male': 80}",{},1.3030642308914617,0.9980130302814979,0.0024268161179001268,True
EGF.N,Taiwan,Hopkins,0.06829232680954321,"{'Female': 112, 'Male': 80}","{'Female': 146, 'Male': 106}",1.3030642308914617,1.4172613234423095,1.0,False
EGF.N,Taiwan,FLU09,0.01528040269955049,"{'Female': 112, 'Male': 80}","{'Female': 194, 'Male': 114}",1.3030642308914617,1.4221974461773674,1.0,False
EGF.N,Taiwan,,,"{'Female': 112, 'Male': 80}",{},1.3030642308914617,,,False
EGF.N,SHIVERS,PICFLU,5.759134956514395e-12,{},{},4.342945178152237e-11,0.879700823389713,1.2900462302592245e-08,True
EGF.N,SHIVERS,Nicaragua,0.0006222129158277767,{},{},4.342945178152237e-11,0.20486797059858383,1.0,False
EGF.N,SHIVERS,Memphis,4.644743333349123e-27,{},{},4.342945178152237e-11,0.9980130302814979,1.0404225066702035e-23,True
EGF.N,SHIVERS,Hopkins,7.3397331521499e-48,{},"{'Female': 146, 'Male': 106}",4.342945178152237e-11,1.4172613234423095,1.6441002260815776e-44,True
EGF.N,SHIVERS,FLU09,7.429212919544764e-75,{},"{'Female': 194, 'Male': 114}",4.342945178152237e-11,1.4221974461773674,1.664143693978027e-71,True
EGF.N,SHIVERS,,,{},{},4.342945178152237e-11,,,False
EGF.N,PICFLU,Nicaragua,1.799435867389736e-21,{},{},0.879700823389713,0.20486797059858383,4.030736342953009e-18,True
EGF.N,PICFLU,Memphis,0.06713943330926754,{},{},0.879700823389713,0.9980130302814979,1.0,False
EGF.N,PICFLU,Hopkins,2.805564444803263e-09,{},"{'Female': 146, 'Male': 106}",0.879700823389713,1.4172613234423095,6.284464356359309e-06,True
