beta_pop,1,-0.387625,-0.38059,-0.00266484,0.292943,0.373549,0.388866,0.131685,nan,-0.0847942,0.0668204
delta_pop,-0.387625,1,0.647826,-0.191645,-0.417663,-0.592654,-0.61726,-0.254733,nan,0.132291,-0.0975324
p_pop,-0.38059,0.647826,1,-0.0331468,-0.385296,-0.533205,-0.559278,-0.164599,nan,0.112578,-0.0855096
c_pop,-0.00266484,-0.191645,-0.0331468,1,0.00232436,0.218989,0.071691,0.238303,nan,0.0105562,0.0196174
omega_beta,0.292943,-0.417663,-0.385296,0.00232436,1,0.387354,0.426246,0.0966825,nan,-0.0916153,0.0581208
omega_delta,0.373549,-0.592654,-0.533205,0.218989,0.387354,1,0.592423,0.217234,nan,-0.107406,0.0900752
omega_p,0.388866,-0.61726,-0.559278,0.071691,0.426246,0.592423,1,0.220958,nan,-0.143439,0.096922
omega_c,0.131685,-0.254733,-0.164599,0.238303,0.0966825,0.217234,0.220958,1,nan,-0.0884968,0.0626229
a1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b1,-0.0847942,0.132291,0.112578,0.0105562,-0.0916153,-0.107406,-0.143439,-0.0884968,nan,1,-0.89925
c1,0.0668204,-0.0975324,-0.0855096,0.0196174,0.0581208,0.0900752,0.096922,0.0626229,nan,-0.89925,1
