rep,id,beta,k,delta,p,c
1,103,0.000124028,4,35.036,0.0600961,0.535646
2,103,1.58917e-05,4,15.1038,0.173155,1.01001
3,103,7.27678e-05,4,26.557,0.0780367,0.709951
4,103,4.07097e-05,4,7.19204,0.0701293,0.978245
5,103,4.78725e-05,4,42.7887,0.146821,0.735084
6,103,0.000142249,4,19.2701,0.0342791,0.553846
7,103,3.57145e-05,4,5.02423,0.0723921,0.99769
8,103,0.000108838,4,11.8651,0.0384658,0.686274
9,103,4.76015e-05,4,10.2486,0.0595052,0.982291
10,103,5.22096e-05,4,22.5375,0.0894845,0.812035
1,107,1.68541e-07,4,10.0165,14.2673,23.9694
2,107,1.80812e-07,4,10.2806,4.84231,4.55663
3,107,2.70957e-07,4,40.5305,9.04884,3.61753
4,107,9.41824e-07,4,2.5572,1.52835,16.355
5,107,1.04777e-07,4,8.11437,24.2974,29.2173
6,107,2.89977e-07,4,6.06996,3.43147,11.0588
7,107,2.04294e-07,4,30.9251,9.0831,4.08103
8,107,6.24e-07,4,2.96507,1.81488,14.2174
9,107,2.44839e-07,4,38.2027,31.5745,29.0267
10,107,4.77528e-07,4,11.3725,2.12899,2.91274
1,110,3.79659e-05,4,18.0071,0.123292,1.96445
2,110,9.92271e-05,4,98.5802,0.620886,1.51232
3,110,3.52302e-05,4,26.0317,0.150707,1.87972
4,110,0.000420111,4,12.704,0.0111267,1.26227
5,110,9.35563e-05,4,19.6848,0.0559068,1.59707
6,110,3.38542e-05,4,63.8369,0.286913,2.00696
7,110,4.18753e-05,4,93.9973,0.360696,1.71867
8,110,0.000253175,4,9.21928,0.0172248,1.53026
9,110,5.16625e-05,4,8.31593,0.0508292,1.87341
10,110,0.000345841,4,34.6882,0.127312,1.4533
1,111,2.97466e-08,4,10.9885,34.8539,8.01559
2,111,9.56978e-08,4,16.9312,14.0211,2.83121
3,111,3.43802e-08,4,15.4399,30.2577,4.3821
4,111,2.97043e-08,4,27.9146,87.4324,10.6024
5,111,4.2393e-08,4,27.232,52.8102,8.47194
6,111,1.09161e-07,4,10.7455,10.0566,2.77283
7,111,4.11911e-08,4,6.59583,15.368,5.25445
8,111,2.91507e-08,4,36.2778,109.322,9.01589
9,111,5.60302e-08,4,33.5294,53.2954,10.1951
10,111,7.36181e-08,4,16.5947,15.828,3.15472
1,112,2.21305e-07,4,17.672,11.6393,9.09306
2,112,3.13975e-07,4,86.4697,31.8279,10.1379
3,112,3.09399e-07,4,44.1332,13.544,5.50974
4,112,2.3042e-07,4,10.4523,9.49558,12.6476
5,112,1.79336e-07,4,44.0886,25.9615,8.88019
6,112,2.06629e-07,4,55.8083,26.7786,6.88718
7,112,2.51953e-07,4,19.0928,10.2332,8.29125
8,112,1.94855e-07,4,15.8087,10.3444,7.1145
9,112,1.66522e-07,4,90.8925,51.684,6.44452
10,112,1.57023e-07,4,32.342,24.0111,8.06311
1,201,0.00265691,4,30.8481,0.12492,10.2999
2,201,0.00757175,4,26.6347,0.00787177,8.34994
3,201,0.0067114,4,76.9816,0.213226,17.8802
4,201,0.00400019,4,360.616,0.209842,6.05575
5,201,0.00338407,4,47.3537,0.0185906,9.50627
6,201,0.00708238,4,124.213,0.0160311,4.91714
7,201,0.00480611,4,95.0969,0.0355925,5.67673
8,201,0.0180995,4,61.2112,0.0370458,7.12188
9,201,0.00685509,4,5.65036,0.00274624,41.9073
10,201,0.00590039,4,8.87303,0.0234815,30.2395
1,204,4.18759e-05,4,22.0168,0.121858,4.11276
2,204,9.05511e-06,4,56.2184,1.30457,8.458
3,204,5.17748e-05,4,135.689,0.542186,3.65824
4,204,0.000278533,4,54.9284,0.0631447,2.53853
5,204,0.000162407,4,84.1935,0.121958,2.88586
6,204,1.03534e-05,4,26.8333,1.03683,22.5653
7,204,8.92413e-05,4,244.98,0.456426,3.27118
8,204,0.0001373,4,32.6965,0.0588853,3.46095
9,204,0.00316528,4,113.701,0.265165,2.2096
10,204,5.71895e-06,4,26.3322,1.54543,13.078
1,207,1.5561e-06,4,12.1057,1.76222,9.24226
2,207,1.27184e-06,4,30.6819,3.45581,5.71031
3,207,1.69499e-06,4,10.4444,1.40363,6.37046
4,207,1.13106e-06,4,35.5071,4.5886,6.77749
5,207,1.34663e-06,4,48.2686,4.16472,4.63586
6,207,5.23295e-07,4,10.516,7.0264,7.34191
7,207,1.83894e-06,4,5.43152,1.32458,5.75625
8,207,1.00214e-06,4,63.7258,7.50846,5.78269
9,207,8.53425e-07,4,70.8738,9.77474,5.42618
10,207,7.56029e-07,4,10.7623,8.22231,33.7016
1,301,1.75751e-07,4,20.516,9.9759,2.15235
2,301,1.42963e-07,4,36.2796,20.2824,2.16443
3,301,1.38739e-07,4,11.6486,9.13089,1.88659
4,301,2.64973e-07,4,2.38593,4.15364,7.44665
5,301,2.00273e-07,4,7.50858,5.1497,2.02197
6,301,1.4233e-07,4,30.748,16.2442,2.43957
7,301,1.03031e-07,4,11.5756,13.2619,2.78626
8,301,2.78977e-07,4,2.769,2.94427,4.34528
9,301,1.64073e-07,4,8.32484,6.92141,2.73401
10,301,2.13277e-07,4,32.501,13.0187,2.00561
1,302,7.03386e-06,4,8.25665,0.371685,1.43939
2,302,5.36994e-07,4,38.2361,7.98541,2.75702
3,302,1.43398e-06,4,16.1821,2.2806,2.12147
4,302,1.95462e-06,4,76.2657,4.58318,1.79479
5,302,3.16421e-06,4,10.6266,0.815899,1.93874
6,302,5.55592e-07,4,38.1727,8.08213,2.47559
7,302,1.37976e-06,4,64.2779,5.3021,1.31643
8,302,2.56248e-06,4,17.49,1.08368,2.02912
9,302,6.29639e-06,4,11.7669,0.480217,1.59712
10,302,1.68986e-06,4,128.856,11.1854,1.87731
1,307,2.89459e-08,4,7.93857,50.2089,6.88267
2,307,7.41857e-09,4,17.9776,551.173,17.938
3,307,1.39111e-08,4,12.7072,132.008,7.7801
4,307,6.45844e-08,4,5.69115,18.682,4.29743
5,307,1.4178e-08,4,10.2381,97.3308,4.55396
6,307,1.20087e-08,4,20.0785,411.334,21.8109
7,307,2.17953e-08,4,6.28315,60.3351,6.47888
8,307,8.05882e-08,4,3.03546,18.0242,8.08498
9,307,2.55221e-08,4,33.0177,127.533,5.01733
10,307,1.43337e-08,4,14.68,147.382,7.6762
1,308,9.54548e-06,4,29.1253,0.341652,1.14853
2,308,5.4764e-06,4,11.6653,0.340359,1.22045
3,308,9.86503e-06,4,45.1503,0.518992,1.09721
4,308,3.6821e-05,4,16.1333,0.11848,0.86148
5,308,1.28137e-05,4,43.9986,0.381877,1.04164
6,308,1.9024e-05,4,23.1802,0.156462,0.66529
7,308,2.6691e-05,4,129.418,0.699337,0.804679
8,308,1.82078e-05,4,20.4553,0.182241,0.811233
9,308,7.89838e-06,4,44.7166,0.683941,1.24201
10,308,1.77261e-05,4,10.2391,0.114117,1.0557
1,311,3.39164e-05,4,92.1963,1.0458,29.6928
2,311,5.36058e-05,4,18.2024,0.172891,21.6396
3,311,4.10664e-05,4,156.87,0.808502,7.9655
4,311,7.06929e-05,4,15.7459,0.101982,12.2283
5,311,4.24056e-05,4,47.7215,0.330051,13.8841
6,311,7.24131e-05,4,67.8092,0.220322,9.88749
7,311,5.39447e-05,4,150.978,0.625314,11.0661
8,311,4.67981e-05,4,17.191,0.211945,23.1279
9,311,0.000118071,4,20.2818,0.0489019,4.1788
10,311,3.83014e-05,4,20.3124,0.162142,9.39113
1,312,1.11794e-06,4,9.67921,1.14278,14.5682
