parameter,value,CV,se_sa,rse_sa
beta_pop,3.38780289807186e-06,,3.65106834377014e-06,107.770978820761
k_pop,4,,,
delta_pop,20.0828498851971,,13.3373443604127,66.4116120802336
p_pop,1.33041119851647,,1.36329629854286,102.471799700954
c_pop,4.28091297781136,,1.43548681249993,33.532258654644
omega_beta,3.40805542184644,33275.828769687,0.800401790896337,23.4855861135817
omega_delta,0.91743938226169,114.904159840842,0.584769537144788,63.7393105692937
omega_p,2.46553175451335,2086.92481256146,0.751593430103378,30.4840296105507
omega_c,1.02844548083293,137.103620406535,0.282893631890842,27.506915744501
a1,2.22044604925031e-16,,nan,nan
b1,0.971455966532382,,0.276645964022401,28.4774579140103
c1,0.996282880972336,,0.0238900781860242,2.39792117703642
