rep,id,eta_beta,eta_k,eta_p,eta_c,eta_delta,eta_delta_E,eta_Kd,eta_xi,eta_d_E,eta_a,eta_tau
1,101,0,0,0,0,0,0,0,0,0,0,0
2,101,0,0,0,0,0,0,0,0,0,0,0
3,101,0,0,0,0,0,0,0,0,0,0,0
1,103,0,0,0,0,0,0,0,0,0,0,0
2,103,0,0,0,0,0,0,0,0,0,0,0
3,103,0,0,0,0,0,0,0,0,0,0,0
1,107,0,0,0,0,0,0,0,0,0,0,0
2,107,0,0,0,0,0,0,0,0,0,0,0
3,107,0,0,0,0,0,0,0,0,0,0,0
1,108,0,0,0,0,0,0,0,0,0,0,0
2,108,0,0,0,0,0,0,0,0,0,0,0
3,108,0,0,0,0,0,0,0,0,0,0,0
1,109,0,0,0,0,0,0,0,0,0,0,0
2,109,0,0,0,0,0,0,0,0,0,0,0
3,109,0,0,0,0,0,0,0,0,0,0,0
1,110,0,0,0,0,0,0,0,0,0,0,0
2,110,0,0,0,0,0,0,0,0,0,0,0
3,110,0,0,0,0,0,0,0,0,0,0,0
1,111,0,0,0,0,0,0,0,0,0,0,0
2,111,0,0,0,0,0,0,0,0,0,0,0
3,111,0,0,0,0,0,0,0,0,0,0,0
1,112,0,0,0,0,0,0,0,0,0,0,0
2,112,0,0,0,0,0,0,0,0,0,0,0
3,112,0,0,0,0,0,0,0,0,0,0,0
1,201,0,0,0,0,0,0,0,0,0,0,0
2,201,0,0,0,0,0,0,0,0,0,0,0
3,201,0,0,0,0,0,0,0,0,0,0,0
1,204,0,0,0,0,0,0,0,0,0,0,0
2,204,0,0,0,0,0,0,0,0,0,0,0
3,204,0,0,0,0,0,0,0,0,0,0,0
1,207,0,0,0,0,0,0,0,0,0,0,0
2,207,0,0,0,0,0,0,0,0,0,0,0
3,207,0,0,0,0,0,0,0,0,0,0,0
1,209,0,0,0,0,0,0,0,0,0,0,0
2,209,0,0,0,0,0,0,0,0,0,0,0
3,209,0,0,0,0,0,0,0,0,0,0,0
1,301,0,0,0,0,0,0,0,0,0,0,0
2,301,0,0,0,0,0,0,0,0,0,0,0
3,301,0,0,0,0,0,0,0,0,0,0,0
1,302,0,0,0,0,0,0,0,0,0,0,0
2,302,0,0,0,0,0,0,0,0,0,0,0
3,302,0,0,0,0,0,0,0,0,0,0,0
1,304,0,0,0,0,0,0,0,0,0,0,0
2,304,0,0,0,0,0,0,0,0,0,0,0
3,304,0,0,0,0,0,0,0,0,0,0,0
1,307,0,0,0,0,0,0,0,0,0,0,0
2,307,0,0,0,0,0,0,0,0,0,0,0
3,307,0,0,0,0,0,0,0,0,0,0,0
1,308,0,0,0,0,0,0,0,0,0,0,0
2,308,0,0,0,0,0,0,0,0,0,0,0
3,308,0,0,0,0,0,0,0,0,0,0,0
1,311,0,0,0,0,0,0,0,0,0,0,0
2,311,0,0,0,0,0,0,0,0,0,0,0
3,311,0,0,0,0,0,0,0,0,0,0,0
1,312,0,0,0,0,0,0,0,0,0,0,0
2,312,0,0,0,0,0,0,0,0,0,0,0
3,312,0,0,0,0,0,0,0,0,0,0,0
