rep,id,eta_beta,eta_k,eta_delta,eta_p,eta_c
1,103,3.60033,0,0.556511,-3.0973,-2.07845
2,103,1.54561,0,-0.28492,-2.03905,-1.44421
3,103,3.06709,0,0.279426,-2.83606,-1.79672
4,103,2.48628,0,-1.02689,-2.9429,-1.47616
5,103,2.64836,0,0.756408,-2.20403,-1.76194
6,103,3.73739,0,-0.04131,-3.65871,-2.04503
7,103,2.35537,0,-1.38559,-2.91115,-1.45648
8,103,3.46968,0,-0.526267,-3.54347,-1.83064
9,103,2.64268,0,-0.672728,-3.10718,-1.47203
10,103,2.73508,0,0.115316,-2.69918,-1.66238
1,107,-3.00076,0,-0.695634,2.37248,1.72261
2,107,-2.93048,0,-0.669605,1.2919,0.0624176
3,107,-2.52598,0,0.702188,1.91715,-0.168374
4,107,-1.28012,0,-2.06095,0.138702,1.34037
5,107,-3.4761,0,-0.906229,2.90488,1.9206
6,107,-2.45814,0,-1.19651,0.947501,0.949058
7,107,-2.80837,0,0.431702,1.92093,-0.047818
8,107,-1.69179,0,-1.91297,0.310532,1.2003
9,107,-2.62733,0,0.643041,3.16686,1.91405
10,107,-1.95931,0,-0.568669,0.470159,-0.385071
1,110,2.41651,0,-0.109102,-2.37869,-0.778956
2,110,3.37723,0,1.591,-0.762096,-1.04052
3,110,2.34172,0,0.25945,-2.1779,-0.823045
4,110,4.82034,0,-0.457949,-4.7839,-1.22126
5,110,3.31838,0,-0.0200184,-3.16956,-0.985995
6,110,2.30188,0,1.15646,-1.53406,-0.757545
7,110,2.51451,0,1.5434,-1.30521,-0.912618
8,110,4.3139,0,-0.77857,-4.34689,-1.02873
9,110,2.72455,0,-0.881693,-3.26477,-0.826404
10,110,4.6258,0,0.546534,-2.3466,-1.08033
1,111,-4.73522,0,-0.603015,3.26568,0.627222
2,111,-3.56674,0,-0.170706,2.35508,-0.413461
3,111,-4.59046,0,-0.262909,3.12426,0.0233614
4,111,-4.73665,0,0.329283,4.18538,0.906916
5,111,-4.38095,0,0.304526,3.68122,0.682594
6,111,-3.43511,0,-0.625377,2.02274,-0.434297
7,111,-4.40971,0,-1.11343,2.4468,0.204909
8,111,-4.75546,0,0.59134,4.40881,0.744822
9,111,-4.10205,0,0.512556,3.69036,0.867737
10,111,-3.82905,0,-0.190783,2.47629,-0.305267
1,112,-2.72839,0,-0.127885,2.1689,0.753345
2,112,-2.37862,0,1.45993,3.17486,0.862111
3,112,-2.39331,0,0.787346,2.32046,0.252351
4,112,-2.68803,0,-0.653047,1.96534,1.0833
5,112,-2.93867,0,0.786334,2.97113,0.729657
6,112,-2.79701,0,1.02206,3.00211,0.475496
7,112,-2.59869,0,-0.0505558,2.04015,0.661034
8,112,-2.85568,0,-0.239308,2.05096,0.507969
9,112,-3.01281,0,1.50981,3.65966,0.409064
10,112,-3.07154,0,0.476499,2.89303,0.633134
