rep,id,beta,k,delta,p,c
1,103,4.02593e-05,4,50.5445,0.211006,0.753075
2,103,3.58717e-08,4,44.2913,119.269,10.5934
3,103,7.70728e-05,4,49.3314,0.107944,0.682278
4,103,2.16565e-05,4,56.7636,0.355175,1.00132
5,103,5.75903e-05,4,50.9549,0.166995,0.634841
6,103,3.59226e-08,4,48.1694,101.524,7.46699
7,103,4.02979e-05,4,37.1428,0.183027,0.769364
8,103,3.44351e-05,4,40.3654,0.182486,0.785638
9,103,7.64381e-05,4,44.7822,0.0969828,0.616417
10,103,2.79083e-08,4,38.2311,101.897,6.72482
1,107,2.27673e-07,4,47.2841,23.4561,13.5464
2,107,1.62176e-07,4,48.2542,32.6116,14.1204
3,107,2.04734e-07,4,59.8613,20.5457,6.79084
4,107,1.88185e-07,4,44.926,26.6468,13.367
5,107,1.92142e-07,4,60.9587,30.9508,11.9917
6,107,1.53259e-07,4,44.1061,34.5596,14.2316
7,107,2.11166e-07,4,43.8801,18.4019,9.256
8,107,3.02355e-07,4,44.1494,13.4779,10.5617
9,107,2.08988e-07,4,46.1728,26.5319,14.9819
10,107,1.26128e-07,4,47.0319,33.2022,9.45542
1,108,1.1651e-08,4,45.1796,159.11,10.0656
2,108,9.7507e-09,4,47.746,50.9121,1.10024
3,108,1.16433e-06,4,65.0876,1.73627,1.60035
4,108,3.00386e-07,4,53.7455,19.657,21.1734
5,108,1.13033e-08,4,45.3565,178.436,10.775
6,108,4.91911e-09,4,41.2094,92.7388,1.54572
7,108,1.06624e-06,4,41.3366,1.18128,1.80859
8,108,1.87074e-07,4,51.1973,45.0245,31.6418
9,108,4.46166e-07,4,49.6641,5.78147,7.5858
10,108,5.97398e-07,4,46.4227,2.8056,3.9616
1,110,7.50367e-07,4,55.6398,7.43014,3.73117
2,110,2.53805e-05,4,57.7366,0.346454,1.64852
3,110,8.47221e-05,4,46.4919,0.110998,1.63732
4,110,6.64652e-05,4,37.1361,0.117785,1.60547
5,110,2.47551e-06,4,69.1299,3.78161,2.83664
6,110,0.000105563,4,47.2328,0.118942,1.58872
7,110,7.41683e-05,4,41.3543,0.113436,1.73342
8,110,6.65493e-05,4,53.7432,0.148216,1.51652
9,110,1.43473e-06,4,41.3448,3.53107,3.06593
10,110,9.00884e-05,4,55.1119,0.12998,1.46682
1,111,4.3669e-08,4,40.8779,55.7718,4.78292
2,111,1.25918e-06,4,49.3228,4.4743,1.61481
3,111,1.27049e-07,4,40.3521,20.9597,2.58783
4,111,4.92886e-08,4,60.6895,251.03,30.322
5,111,4.60919e-08,4,40.861,54.2171,3.59868
6,111,2.35943e-07,4,44.4436,12.6007,2.34354
7,111,6.6324e-08,4,48.2667,40.1892,3.19506
8,111,3.611e-08,4,42.7408,147.436,15.6596
9,111,5.22393e-08,4,45.9787,46.8168,3.76896
10,111,1.29016e-07,4,51.0004,23.0648,2.81167
1,112,3.07454e-07,4,32.6098,10.7174,5.62194
2,112,1.92311e-07,4,54.3408,30.0009,7.49537
3,112,3.91025e-07,4,52.4469,11.4441,3.92021
