rep,id,eta_beta,eta_k,eta_delta,eta_p,eta_c
1,103,2.56247,0,0.0359778,-2.43783,-1.60494
2,103,-4.46067,0,-0.0960874,3.89942,1.03888
3,103,3.21188,0,0.0116844,-3.1081,-1.70367
4,103,1.94244,0,0.15202,-1.9171,-1.32003
5,103,2.92049,0,0.0440643,-2.67175,-1.77573
6,103,-4.45925,0,-0.0121522,3.73833,0.68914
7,103,2.56343,0,-0.272105,-2.58008,-1.58354
8,103,2.40621,0,-0.188903,-2.58304,-1.56261
9,103,3.20361,0,-0.0850643,-3.21518,-1.80518
10,103,-4.7117,0,-0.243227,3.74201,0.584453
1,107,-2.61271,0,-0.0307015,2.27317,1.28477
2,107,-2.95194,0,-0.0103931,2.60271,1.32627
3,107,-2.71891,0,0.205155,2.14069,0.594223
4,107,-2.80319,0,-0.0818598,2.40071,1.27143
5,107,-2.78239,0,0.223321,2.55044,1.16286
6,107,-3.00849,0,-0.100277,2.66073,1.33411
7,107,-2.68798,0,-0.105416,2.03049,0.90392
8,107,-2.32902,0,-0.0992967,1.7191,1.03588
9,107,-2.69834,0,-0.0544861,2.39639,1.38549
10,107,-3.20333,0,-0.0360495,2.62066,0.925237
1,108,-5.58523,0,-0.0762315,4.18764,0.987767
2,108,-5.76328,0,-0.0209812,3.04814,-1.22582
3,108,-0.980725,0,0.288857,-0.330221,-0.851127
4,108,-2.33555,0,0.0973846,2.09648,1.73139
5,108,-5.61553,0,-0.0723223,4.30227,1.05588
6,108,-6.44749,0,-0.16821,3.64783,-0.885863
7,108,-1.06873,0,-0.165127,-0.71536,-0.728804
8,108,-2.80912,0,0.0488112,2.92525,2.13313
9,108,-1.93993,0,0.0184059,0.872699,0.704927
10,108,-1.64804,0,-0.0490868,0.149657,0.0552956
1,110,-1.42006,0,0.132023,1.12359,-0.00463007
2,110,2.10112,0,0.169015,-1.94197,-0.821473
3,110,3.30651,0,-0.0475981,-3.0802,-0.828293
4,110,3.06381,0,-0.272288,-3.02085,-0.847935
5,110,-0.226418,0,0.349111,0.44819,-0.278733
6,110,3.52644,0,-0.0317867,-3.01108,-0.858423
7,110,3.17347,0,-0.164699,-3.05848,-0.771255
8,110,3.06508,0,0.0973417,-2.79104,-0.904935
9,110,-0.771889,0,-0.16493,0.37964,-0.200999
10,110,3.36792,0,0.12249,-2.92234,-0.938254
1,111,-4.26398,0,-0.176287,3.13931,0.243699
2,111,-0.90241,0,0.0115109,0.61639,-0.842133
3,111,-3.19605,0,-0.189232,2.16064,-0.370533
4,111,-4.14293,0,0.218895,4.64361,2.09052
5,111,-4.20998,0,-0.1767,3.11104,-0.0407858
6,111,-2.57703,0,-0.0926559,1.65179,-0.469687
7,111,-3.84607,0,-0.010135,2.81164,-0.159746
8,111,-4.45405,0,-0.131723,4.11143,1.42973
9,111,-4.08479,0,-0.0586977,2.96428,0.00544756
10,111,-3.18069,0,0.0449575,2.25635,-0.287573
1,112,-2.3123,0,-0.402264,1.48991,0.405324
2,112,-2.78151,0,0.1084,2.51927,0.692934
3,112,-2.07185,0,0.072926,1.55552,0.0447934
4,112,-2.20664,0,0.0819608,1.77545,0.280105
5,112,-2.82669,0,0.237508,2.52148,0.324073
6,112,-2.52762,0,-0.0988322,2.2246,1.06912
7,112,-1.84849,0,0.155322,1.41054,-0.0784845
8,112,-3.01648,0,-0.108201,2.54266,0.517459
9,112,-2.65466,0,-0.189896,2.32305,1.07393
10,112,-2.95148,0,0.0637591,2.59646,0.516568
1,201,7.93142,0,0.254344,-3.59343,0.661779
2,201,8.10805,0,0.124427,-0.855054,1.65865
3,201,5.72306,0,-0.235884,-1.73231,2.27954
4,201,5.6874,0,-0.115289,-3.61946,1.91882
5,201,8.6614,0,-0.122347,-4.99556,0.290556
6,201,8.16401,0,0.0249779,-3.9231,0.198873
7,201,9.64713,0,0.0993769,-2.29365,1.31031
8,201,7.48867,0,0.00250909,-4.26801,0.816969
9,201,7.23983,0,0.212734,-5.97934,1.3355
10,201,7.94879,0,-0.181364,-2.10778,1.63692
1,204,4.97899,0,0.113465,-4.32383,-0.354744
2,204,3.71889,0,0.254232,-3.1737,-0.0601506
3,204,3.32252,0,-0.0504907,-3.0277,-0.0990091
4,204,1.24751,0,-0.129838,-0.84747,1.18814
5,204,5.45183,0,-0.134472,-2.745,-0.449129
6,204,3.23173,0,-0.104725,-2.93956,0.0171939
7,204,3.81443,0,0.038084,-3.41763,-0.239873
8,204,1.2296,0,0.256211,-0.724881,0.888338
9,204,9.56622,0,-0.312162,-3.21956,-0.536968
10,204,2.62604,0,0.111641,-2.27054,0.0705924
1,207,-0.835978,0,0.163929,0.763727,0.540643
2,207,-1.42174,0,-0.220594,1.05828,0.684118
3,207,-1.33802,0,0.0652622,1.96859,1.95955
4,207,-0.816501,0,-0.119596,0.527898,0.373607
5,207,-1.45973,0,-0.104161,1.40198,0.949141
6,207,-1.26276,0,0.0763829,1.12403,0.586068
7,207,-1.34159,0,-0.0574838,1.62356,1.57367
8,207,-0.640253,0,0.168904,0.498356,0.214446
9,207,-1.18869,0,0.194702,1.3355,1.01855
10,207,-1.02635,0,0.0899112,0.892507,0.437223
1,301,-3.27805,0,0.0153951,2.53003,-0.520547
2,301,-3.35482,0,-0.256438,2.3703,-0.343535
3,301,-3.47077,0,0.0616796,2.8627,-0.502763
4,301,-3.44144,0,-0.181614,2.47221,-0.37676
5,301,-2.7376,0,0.190653,2.10408,-0.559388
6,301,-3.48267,0,-0.0975994,2.70957,-0.362914
7,301,-3.72077,0,0.0118605,3.00542,-0.285256
8,301,-3.31032,0,-0.0962313,2.51896,-0.495208
9,301,-3.39861,0,-0.0855509,2.61476,-0.327073
10,301,-3.72068,0,-0.0487483,2.86298,-0.215395
1,302,0.0422026,0,-0.0685002,-0.117948,-0.742446
2,302,-1.11236,0,0.0108727,0.823211,-0.601191
3,302,-0.295538,0,0.00575256,0.185917,-0.824944
4,302,-0.0792202,0,0.0507333,-0.0412958,-0.685812
5,302,-0.45037,0,0.0398522,0.239262,-0.670118
6,302,-0.089488,0,-0.0848077,-0.0443985,-0.781157
7,302,-1.6755,0,0.114537,1.47541,-0.420822
8,302,-0.991733,0,0.229046,1.02467,-0.555472
9,302,-0.885378,0,0.279478,0.899229,-0.711405
10,302,-0.67795,0,0.160592,0.82636,-0.688746
1,307,-4.60487,0,-0.139232,3.93333,0.0459784
2,307,-4.80066,0,-0.0519358,4.28522,0.417222
3,307,-5.24324,0,-0.00151134,4.88952,0.761477
4,307,-5.21174,0,0.028069,5.26804,1.41512
5,307,-4.88416,0,-0.149757,4.22333,0.447085
6,307,-5.09462,0,0.0876285,4.6951,0.445953
7,307,-5.24451,0,-0.00733889,4.7541,0.519262
8,307,-5.48315,0,-0.0861384,5.63115,1.66704
9,307,-4.76934,0,-0.105256,4.1839,0.35888
10,307,-5.0918,0,-0.2481,4.61541,0.866587
1,308,1.69363,0,-0.206677,-2.14328,-1.40044
2,308,0.159437,0,0.0498623,0.0724642,-1.00128
3,308,2.06161,0,0.0818357,-2.14521,-1.42145
4,308,0.770863,0,-0.185298,-1.41556,-1.30307
