parameter,value,CV,se_sa,rse_sa
beta_pop,3.10454264219609e-06,,3.06081009028111e-06,98.5913367295851
k_pop,4,,,
delta_pop,48.7583311114665,,10.9198574445769,22.3958802437537
p_pop,2.41562758250488,,2.00830296677127,83.1379382035689
c_pop,3.74848584084098,,1.07558014301345,28.6937229772793
omega_beta,3.61483518455563,68781.2071588876,0.807692710770858,22.3438322782107
omega_delta,0.145365944031602,14.613727682069,0.149864109400028,103.094373581372
omega_p,2.7160780196496,3997.39141167158,0.618610954968413,22.7758904749069
omega_c,0.894605342428483,110.73618934461,0.244312500056474,27.3095283997821
a1,2.22044604925031e-16,,nan,nan
b1,0.931826167765935,,0.265059113366956,28.445124480936
c1,1.00344378254356,,0.0252953509772165,2.52085382532314
