id,beta_SAEM,k_SAEM,p_SAEM,c_SAEM,delta_SAEM,delta_E_SAEM,Kd_SAEM,xi_SAEM,d_E_SAEM,a_SAEM,tau_SAEM,beta_mode,k_mode,p_mode,c_mode,delta_mode,delta_E_mode,Kd_mode,xi_mode,d_E_mode,a_mode,tau_mode
101,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
103,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
107,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
108,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
109,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
110,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
111,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
112,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
201,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
204,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
207,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
209,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
301,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
302,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
304,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
307,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
308,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
311,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
312,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
