rep,id,beta,k,p,c,delta,delta_E,Kd,xi,d_E,a,tau
1,101,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,101,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,101,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,103,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,103,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,103,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,107,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,107,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,107,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,108,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,108,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,108,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,109,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,109,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,109,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,110,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,110,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
