parameter,value,CV,se_sa,rse_sa
beta_pop,9e-05,,,
k_pop,4,,,
p_pop,0.04,,,
c_pop,20,,,
delta_pop,0.962711,,,
delta_E_pop,7.55988511068348e-13,,1.51284515888132e-10,20011.4834647871
Kd_pop,99736781.2845504,,119877842987.97,120194.21666111
xi_pop,0.0314504938711869,,nan,nan
d_E_pop,1.95643962759608e-12,,1.01096535638228e-09,51673.7313087691
a_pop,3.39970075257066e-06,,nan,nan
tau_pop,3.64249004593815e-05,,6.3332061422472e-06,17.3870238830427
a1,2.22044604925031e-16,,nan,nan
b1,73.2913745256191,,4.47698344560042,6.10847248339637
a2,0.291875520719941,,19870.2341513374,6807776.85717713
b2,1.17611569941838,,0.161174165232164,13.7039379129
