parameter,value,CV,se_sa,rse_sa
beta_pop,0.0126010820819903,,1.12504779569813e-09,8.92818401132446e-06
k_pop,0.607137986042864,,nan,nan
delta_pop,1.1185083626962e-08,,nan,nan
delta_E_pop,40,,,
Kd_pop,434,,,
p_pop,1,,nan,nan
c_pop,94.8538322680112,,2.55072404812953e-05,2.68911016786587e-05
xi_pop,655,,,
K_Ef_pop,810000,,,
eta_pop,7.49999999999999e-09,,,
tau_E_pop,2,,,
d_E_pop,1,,,
EB_pop,1,,,
omega_beta,3.48924943091519e-08,3.33200093731253e-06,5.23295377865131e-08,149.973622759287
omega_k,7.53379812935406e-08,7.59813117026207e-06,1.10742852523013e-07,146.994717168653
omega_delta,1.82249048080369e-08,1.49011611938477e-06,2.7610977528956e-08,151.501353887895
omega_delta_E,1,131.083249443209,,
omega_Kd,1,131.083249443209,,
omega_p,5.35679013706746,170248632.776365,1.09974303875815,20.5298884335275
omega_c,1.41816428740425e-07,1.42148018094442e-05,5.27451096624011e-07,371.92524258909
omega_xi,1,131.083249443209,,
omega_K_Ef,1,131.083249443209,,
omega_eta,1,131.083249443209,,
omega_tau_E,1,131.083249443209,,
omega_d_E,1,131.083249443209,,
a,2.22044604925031e-16,,nan,nan
b,0.536163234179452,,0.0598363294500424,11.160095589474
