rep,id,beta,k,delta,delta_E,Kd,p,c,xi,K_Ef,eta,tau_E,d_E,EB
1,103,0.00477166,0.221673,6.36227e-06,25.7415,13925.6,0.232034,496.435,623.27,430036,2.41975e-08,6.53388,1.94494,1
2,103,0.00388437,0.570746,3.13172e-08,36.2313,882.624,0.409348,470.025,437.849,4.95369e+06,3.07658e-09,9.30344,1.67727,1
3,103,0.00378937,0.293559,6.65144e-07,66.9087,485.403,0.12163,534.228,2098.25,292681,1.40207e-08,7.44363,1.04543,1
4,103,0.00359087,0.527379,8.60257e-10,15.5867,208.149,0.473283,603.353,1452,559183,1.12641e-08,7.30716,2.2735,1
5,103,0.00347716,0.242936,4.81011e-06,5.51015,977.709,0.117781,580.312,1273.96,120383,1.15298e-08,2.5743,1.37599,1
6,103,0.00332679,0.712414,7.20308e-07,120.515,213.223,0.157761,912.922,2014.84,617632,7.58632e-09,0.611513,2.80135,1
7,103,0.00357691,0.626034,3.10421e-07,52.7113,719.406,0.431392,465.899,341.473,8.9776e+06,1.34499e-08,8.52797,1.629,1
8,103,0.00336756,0.250535,3.19531e-06,26.0338,410.531,0.148007,565.223,1813.27,267392,4.66224e-08,9.26016,1.05702,1
9,103,0.00352892,0.576484,7.55513e-10,14.0757,171.445,0.471697,603.778,1379.48,790128,1.95485e-08,7.69517,2.42996,1
10,103,0.00350419,0.34656,4.64626e-09,24.3083,254.506,0.0815234,534.695,206.952,1.76778e+06,9.22683e-09,2.00828,0.950464,1
1,107,0.0038532,0.512964,3.27801e-09,148.896,150.886,0.237509,793.823,200.666,720124,6.62192e-09,0.719127,2.89551,1
2,107,0.00381602,0.474272,3.07468e-07,42.9337,900.808,0.46859,757.338,113.133,590477,6.98182e-09,0.487388,0.751575,1
3,107,0.00343005,0.450985,3.72182e-09,80.9274,178.986,0.252753,677.9,130.21,590355,1.0244e-08,1.85481,0.563189,1
4,107,0.00414633,1.96837,8.71461e-10,19.2213,448.242,0.139875,528.582,373.835,1.47523e+06,3.76433e-09,2.91669,2.37577,1
5,107,0.00454516,0.759256,3.33249e-06,10.7899,444.3,0.0906363,481.76,632.746,447334,8.73237e-09,2.27603,0.631638,1
6,107,0.00377705,0.298997,4.17373e-07,69.7148,1413.92,0.254571,490.538,89.1508,735834,2.59723e-09,1.26336,0.534581,1
7,107,0.00405378,0.355398,1.27835e-08,50.2096,194.931,0.168324,399.182,986.949,1.75466e+06,7.32947e-09,2.11422,1.40325,1
8,107,0.00361328,0.585134,2.38094e-08,65.2619,316.605,0.457405,794.783,1940.9,933882,5.84349e-10,0.456708,0.511024,1
9,107,0.00444885,0.289077,4.10161e-09,71.77,375.808,0.271869,531.723,2153.73,582260,1.73572e-08,3.65978,0.920123,1
10,107,0.00355795,0.431891,9.43672e-08,14.0957,697.996,0.30091,596.411,224.949,1.10196e+06,1.09649e-08,0.701829,1.05633,1
1,108,0.00350394,0.603766,4.38799e-06,393.317,236.782,0.039452,437.648,1131.31,1.20686e+06,8.18207e-10,1.95991,2.38142,1
2,108,0.00463986,0.305828,1.44918e-07,111.099,334.47,0.147088,672.555,413.233,1.5096e+06,6.42642e-09,0.820514,0.219075,1
3,108,0.00436939,0.245541,6.66273e-07,17.1931,1274.27,0.08056,435.527,262.942,274238,1.79566e-08,1.46937,0.475538,1
4,108,0.00373472,0.390566,3.71168e-07,466.155,334.614,0.0894844,863.743,96.4888,647218,7.68332e-09,0.708431,4.11233,1
5,108,0.00338092,0.27909,5.91048e-10,48.6433,1898.58,0.106016,645.437,438.747,4.69064e+06,4.89246e-09,0.818285,1.08921,1
6,108,0.00354579,0.199324,1.83396e-07,13.2585,145.28,0.166422,898.53,382.879,2.31227e+06,6.83492e-09,0.345197,0.486991,1
7,108,0.00306637,0.203147,9.54337e-08,24.0793,2111.59,0.138721,499.431,1138.02,1.69305e+06,6.64783e-08,2.81009,1.18059,1
8,108,0.0033539,0.202822,5.23052e-09,173.731,486.293,0.15205,652.169,189.726,237509,8.98673e-09,1.9717,1.03698,1
9,108,0.00335512,0.248933,9.16526e-08,10.8007,258.036,0.149031,706.189,705.359,1.02793e+06,3.25978e-09,1.15876,8.55876,1
10,108,0.00343023,0.164849,8.33136e-12,5.05238,88.8523,0.145741,500.727,797.835,880413,1.29272e-08,3.10331,0.850418,1
1,111,0.00334142,0.605396,4.82969e-10,69.7752,93.925,0.395817,713.941,766.738,539164,5.12285e-09,25.3481,0.806988,1
2,111,0.00487131,0.388989,2.01795e-08,335.786,1524.88,0.208176,756.016,87.0952,302629,1.94202e-08,18.549,1.52828,1
3,111,0.00353829,0.588798,1.55124e-05,9.43487,80.8461,0.167217,620.34,209.885,1.02959e+06,2.04131e-08,6.13015,0.595693,1
4,111,0.00395396,0.794835,1.36895e-10,17.2675,136.657,0.128134,658.573,264.545,3.63149e+06,3.22164e-09,0.812054,0.899291,1
5,111,0.00361483,1.73638,0.000109944,21.3396,518.629,0.176504,561.95,1305.27,392032,3.28337e-08,7.21745,0.362768,1
6,111,0.00335479,0.582208,3.10902e-10,82.174,192.054,0.4511,731.715,887.661,505202,1.51598e-08,12.3786,0.903698,1
7,111,0.0048381,0.388889,3.12254e-07,302.148,1660.26,0.211978,822.998,71.2105,247122,1.61064e-09,17.0786,1.78142,1
8,111,0.00350873,0.567272,3.0938e-06,7.26118,74.4491,0.165079,620.34,247.693,1.0673e+06,1.27099e-08,6.62165,0.592073,1
9,111,0.00405089,0.765382,5.07684e-09,17.2675,147.315,0.103463,628.523,273.408,2.86505e+06,2.36655e-09,0.840477,0.586418,1
10,111,0.00364654,1.91588,2.04535e-05,28.338,849.753,0.194929,562.822,944.657,406385,8.05665e-09,6.67785,0.405914,1
1,112,0.00367641,0.877376,2.66611e-05,165.332,511.308,0.274289,660.298,611.661,303320,3.49006e-09,0.756013,1.4727,1
2,112,0.00306604,1.14334,6.09193e-06,36.8456,529.578,0.0812321,559.952,580.794,2.78178e+06,1.91821e-09,3.64001,10.6287,1
3,112,0.00377642,0.353765,5.36131e-09,28.0067,5136.53,0.304273,709.529,535.32,865065,1.25741e-08,1.95994,0.911101,1
4,112,0.00345817,0.320079,9.91632e-08,9.03432,83.6613,0.198679,857.782,4649.9,1.11066e+06,1.95773e-09,1.50563,0.441756,1
5,112,0.00340022,0.923136,2.5025e-05,61.8952,1542.11,0.273252,783.099,938.556,591343,3.21697e-09,0.96654,0.236173,1
6,112,0.00367655,0.877376,1.12796e-05,171.506,680.833,0.271611,631.091,586.067,319876,5.92931e-09,0.756013,1.38629,1
7,112,0.00306604,1.14334,6.09193e-06,36.8456,529.578,0.0812321,559.952,580.794,2.78178e+06,1.91821e-09,3.64001,10.6287,1
