rep,id,eta_beta,eta_k,eta_delta,eta_delta_E,eta_Kd,eta_p,eta_c,eta_xi,eta_K_Ef,eta_eta,eta_tau_E,eta_d_E,eta_EB
1,103,0.245122,-0.765973,4.55883,-0.440774,3.46844,-0.173593,-0.220414,-0.0496551,-0.633166,1.17135,1.18385,0.665229,0
2,103,0.0393882,0.17977,-0.755147,-0.0989556,0.709855,0.39409,-0.27508,-0.402762,1.81085,-0.891084,1.53724,0.517169,0
3,103,0.0146265,-0.485096,2.30069,0.514449,0.111934,-0.819492,-0.147045,1.16423,-1.01795,0.62563,1.31421,0.0444245,0
4,103,-0.0391793,0.100744,-4.34984,-0.942458,-0.734788,0.539218,-0.0253638,0.796061,-0.370558,0.406715,1.29571,0.82132,0
5,103,-0.0713584,-0.674376,4.27916,-1.98229,0.812168,-0.851649,-0.0643013,0.665252,-1.90635,0.430035,0.252431,0.319171,0
6,103,-0.115565,0.401484,2.38036,1.10289,-0.710706,-0.559392,0.388784,1.12366,-0.271141,0.011443,-1.18497,1.0301,0
7,103,-0.0430746,0.272229,1.53861,0.27595,0.505382,0.446541,-0.283898,-0.651368,2.40545,0.584069,1.4502,0.487967,0
8,103,-0.103385,-0.643574,3.87013,-0.429484,-0.0555942,-0.623215,-0.090647,1.01825,-1.10832,1.82718,1.53257,0.0554526,0
9,103,-0.0565807,0.189772,-4.47967,-1.04443,-0.928781,0.535862,-0.0246602,0.744824,-0.0248399,0.957995,1.34745,0.887873,0
10,103,-0.0636125,-0.319118,-2.66325,-0.498064,-0.533719,-1.21958,-0.146169,-1.15215,0.780443,0.207212,0.00413095,-0.0508046,0
1,107,0.0313319,0.0730313,-3.01208,1.31437,-1.05652,-0.150268,0.248994,-1.18299,-0.117611,-0.124517,-1.02286,1.06316,0
2,107,0.0216356,-0.00539385,1.52906,0.070778,0.730247,0.529254,0.201943,-1.75607,-0.316104,-0.0715931,-1.41184,-0.285584,0
3,107,-0.0849972,-0.055741,-2.8851,0.704673,-0.885735,-0.0880624,0.091133,-1.61548,-0.316311,0.311793,-0.0753663,-0.57414,0
4,107,0.104652,1.41779,-4.3369,-0.732863,0.0322892,-0.679726,-0.157668,-0.56082,0.599535,-0.689333,0.377304,0.865322,0
5,107,0.196491,0.465164,3.91216,-1.31027,0.0234554,-1.11362,-0.25042,-0.0345659,-0.593728,0.152134,0.129287,-0.459438,0
6,107,0.0113702,-0.466742,1.83467,0.555533,1.18108,-0.0808936,-0.232364,-1.99431,-0.0960293,-1.06046,-0.45937,-0.626271,0
7,107,0.0820763,-0.293937,-1.65116,0.227328,-0.800399,-0.494585,-0.43845,0.409983,0.772997,-0.0229996,0.0555399,0.338789,0
8,107,-0.0329571,0.204666,-1.02924,0.489528,-0.31539,0.505093,0.250202,1.08627,0.142316,-2.55216,-1.47686,-0.671339,0
