parameter,value,CV,se_sa,rse_sa
beta_pop,0.00373434679029929,,0.00339202689177522,90.8332054373387
k_pop,0.476837101343277,,0.268973835097071,56.4079083484394
delta_pop,6.66406322928984e-08,,nan,nan
delta_E_pop,40,,,
Kd_pop,434,,,
p_pop,0.276020527384505,,0.410264590223763,148.635535954995
c_pop,618.852297597365,,1112.55629150076,179.777354923
xi_pop,655,,,
K_Ef_pop,810000,,,
eta_pop,7.49999999999999e-09,,,
tau_E_pop,2,,,
d_E_pop,1,,,
EB_pop,1,,,
omega_beta,0.153097253992101,15.3998752854817,0.197412115808269,128.945562810979
omega_k,0.592882849223615,64.9008522922113,nan,nan
omega_delta,3.45417065212066,38980.4041976543,nan,nan
omega_delta_E,1,131.083249443209,,
omega_Kd,1,131.083249443209,,
omega_p,0.625522806354824,69.200486805562,2.30322839904344,368.208541022715
omega_c,0.163359889631708,16.4455847332981,1.93710372099452,1185.78907304705
omega_xi,1,131.083249443209,,
omega_K_Ef,1,131.083249443209,,
omega_eta,1,131.083249443209,,
omega_tau_E,1,131.083249443209,,
omega_d_E,1,131.083249443209,,
a,2.22044604925031e-16,,nan,nan
b,0.238051542110612,,0.0317645360361589,13.343553986052
