group,xi,a,tau,d_E,delta_E,K_delta_E,SSE,AIC
"(0, 0, 0, 0, 0, 0)",1.3177168177692526,2.298793682762233,23.988328926813182,17.78279410038923,868960688.7966979,inf,1.93807482397057,-33.77429761050506
"(0, 0, 0, 0, 0, 1)",1.3176498028527235,2.298793682762233,23.988328926813182,17.78279410038923,868960688.7966979,inf,1.93193215888062,-31.825089624272103
"(0, 0, 0, 0, 1, 0)",1.3176498028527235,2.298793682762233,23.988328926813182,17.78279410038923,948784103.9361323,inf,1.93199477017262,-31.824571094449738
"(0, 0, 0, 1, 0, 0)",1.3176498028527235,2.298793682762233,23.988328926813182,17.314260713262634,868960688.7966979,inf,1.92831307656201,-31.85509048200597
"(0, 0, 1, 0, 0, 0)",1.3176498028527235,2.298793682762233,23.854685647607596,17.78279410038923,868960688.7966979,inf,1.92879666062095,-31.85107849089823
"(0, 1, 0, 0, 0, 0)",1.3176498028527235,2.307604655096648,23.988328926813182,17.78279410038923,868960688.7966979,inf,1.92810922930857,-31.85678197520842
"(1, 0, 0, 0, 0, 0)",1.3193040164333767,2.298793682762233,23.988328926813182,17.78279410038923,868960688.7966979,inf,1.92811083311363,-31.8567686663824
"(0, 0, 0, 0, 1, 1)",1.3176498028527235,2.298793682762233,23.988328926813182,17.78279410038923,906324966.2267076,inf,1.93655105206659,-29.786882232866333
"(0, 0, 0, 1, 0, 1)",1.3176498028527235,2.298793682762233,23.988328926813182,4.782691889578591,868960688.7966979,inf,1.69864119526445,-31.884161403023434
"(0, 0, 0, 1, 1, 0)",1.3176498028527235,2.298793682762233,23.988328926813182,3.389094403093745,533245.1546162035,inf,1.57475299250214,-33.09584467869906
"(0, 0, 1, 0, 0, 1)",1.3176498028527235,2.298793682762233,16.0115653442482,17.78279410038923,868960688.7966979,inf,1.85985096084391,-30.433477860858886
"(0, 0, 1, 0, 1, 0)",1.3176498028527235,2.298793682762233,6.521851946752593,17.78279410038923,518.2264998551611,inf,1.49568773035509,-33.920041613914
"(0, 0, 1, 1, 0, 0)",1.3176498028527235,2.298793682762233,42.177680411830515,3.60875454125267,868960688.7966979,inf,2.04434702493243,-28.920164591114663
"(0, 1, 0, 0, 0, 1)",1.3176498028527235,3.170935961506866,23.988328926813182,17.78279410038923,868960688.7966979,inf,1.64645432037319,-32.383434292199276
"(0, 1, 0, 0, 1, 0)",1.3176498028527235,9.527430717311425,23.988328926813182,17.78279410038923,1765.7825521280536,inf,1.28667311270336,-36.32846108112997
"(0, 1, 0, 1, 0, 0)",1.3176498028527235,1.8124007282634929,23.988328926813182,4.575774099308767,868960688.7966979,inf,1.8673387445283,-30.369190980074592
"(0, 1, 1, 0, 0, 0)",1.3176498028527235,6.07040920149107,69.39901257261852,17.78279410038923,868960688.7966979,inf,1.88588143920127,-30.211094458089057
"(1, 0, 0, 0, 0, 1)",1.4810783849564368,2.298793682762233,23.988328926813182,17.78279410038923,868960688.7966979,inf,1.64030396548958,-32.44331444427491
"(1, 0, 0, 0, 1, 0)",2.9530207655403977,2.298793682762233,23.988328926813182,17.78279410038923,203.1052265390514,inf,1.14218289774823,-38.23435949092917
"(1, 0, 0, 1, 0, 0)",1.1916353247827804,2.298793682762233,23.988328926813182,3.162664590131038,868960688.7966979,inf,1.83984430778625,-30.606524312520413
"(1, 0, 1, 0, 0, 0)",6.458035570393997,2.298793682762233,462.10416580452465,17.78279410038923,868960688.7966979,inf,1.80669578342293,-30.89742526880716
