group,xi,a,tau,d_E,delta_E,K_delta_E,SSE,AIC
"(0, 0, 0, 0, 0, 0)",0.11982208879050205,0.36149999499321,1.37999999523163,1.25,8.93900012969971,inf,1.93807482397057,-33.77429761050506
"(0, 0, 0, 0, 0, 1)",0.11980000138282802,0.36149999499321,1.37999999523163,1.25,8.93900012969971,inf,1.93193215888062,-31.825089624272103
"(0, 0, 0, 0, 1, 0)",0.11980000138282802,0.36149999499321,1.37999999523163,1.25,8.9771673998496,inf,1.93199477017262,-31.824571094449738
"(0, 0, 0, 1, 0, 0)",0.11980000138282802,0.36149999499321,1.37999999523163,1.23840395271453,8.93900012969971,inf,1.92831307656201,-31.85509048200597
"(0, 0, 1, 0, 0, 0)",0.11980000138282802,0.36149999499321,1.37757369788472,1.25,8.93900012969971,inf,1.92879666062095,-31.85107849089823
"(0, 1, 0, 0, 0, 0)",0.11980000138282802,0.3631614063828059,1.37999999523163,1.25,8.93900012969971,inf,1.92810922930857,-31.85678197520842
"(1, 0, 0, 0, 0, 0)",0.12034488458779903,0.36149999499321,1.37999999523163,1.25,8.93900012969971,inf,1.92811083311363,-31.8567686663824
"(0, 0, 0, 0, 1, 1)",0.11980000138282802,0.36149999499321,1.37999999523163,1.25,8.95728394352064,inf,1.93655105206659,-29.786882232866333
"(0, 0, 0, 1, 0, 1)",0.11980000138282802,0.36149999499321,1.37999999523163,0.679672403668135,8.93900012969971,inf,1.69864119526445,-31.884161403023434
"(0, 0, 0, 1, 1, 0)",0.11980000138282802,0.36149999499321,1.37999999523163,0.530083666261891,5.72692691788048,inf,1.57475299250214,-33.09584467869906
"(0, 0, 1, 0, 0, 1)",0.11980000138282802,0.36149999499321,1.20443379207779,1.25,8.93900012969971,inf,1.85985096084391,-30.433477860858886
"(0, 0, 1, 0, 1, 0)",0.11980000138282802,0.36149999499321,0.814370935617102,1.25,2.71451961715349,inf,1.49568773035509,-33.920041613914
"(0, 0, 1, 1, 0, 0)",0.11980000138282802,0.36149999499321,1.62508269176092,0.55735734340481,8.93900012969971,inf,2.04434702493243,-28.920164591114663
"(0, 1, 0, 0, 0, 1)",0.11980000138282802,0.501187471341176,1.37999999523163,1.25,8.93900012969971,inf,1.64645432037319,-32.383434292199276
"(0, 1, 0, 0, 1, 0)",0.11980000138282802,0.978975799302117,1.37999999523163,1.25,3.24693722119775,inf,1.28667311270336,-36.32846108112997
"(0, 1, 0, 1, 0, 0)",0.11980000138282802,0.25825422801650194,1.37999999523163,0.660464575696387,8.93900012969971,inf,1.8673387445283,-30.369190980074592
"(0, 1, 1, 0, 0, 0)",0.11980000138282802,0.783217967510125,1.84135329124284,1.25,8.93900012969971,inf,1.88588143920127,-30.211094458089057
"(1, 0, 0, 0, 0, 1)",0.17057804383734704,0.36149999499321,1.37999999523163,1.25,8.93900012969971,inf,1.64030396548958,-32.44331444427491
"(1, 0, 0, 0, 1, 0)",0.470266500919667,0.36149999499321,1.37999999523163,1.25,2.30772109931748,inf,1.14218289774823,-38.23435949092917
"(1, 0, 0, 1, 0, 0)",0.07614336893948509,0.36149999499321,1.37999999523163,0.500053136152466,8.93900012969971,inf,1.83984430778625,-30.606524312520413
"(1, 0, 1, 0, 0, 0)",0.810100432750404,0.36149999499321,2.66473988364046,1.25,8.93900012969971,inf,1.80669578342293,-30.89742526880716
"(1, 1, 0, 0, 0, 0)",0.125368469285922,0.347675146369588,1.37999999523163,1.25,8.93900012969971,inf,1.93030361560759,-29.838582686546992
"(0, 0, 0, 1, 1, 1)",0.11980000138282802,0.36149999499321,1.37999999523163,0.57207257599733,6.03769313475463,inf,1.54016219735291,-31.451215814462103
"(0, 0, 1, 0, 1, 1)",0.11980000138282802,0.36149999499321,0.621203343095166,1.25,1.7744928043162,inf,1.35604605048588,-33.488249164206614
"(0, 0, 1, 1, 0, 1)",0.11980000138282802,0.36149999499321,1.41078872419479,0.534520832613313,8.93900012969971,inf,1.55496907608476,-31.29812901709664
"(0, 0, 1, 1, 1, 0)",0.11980000138282802,0.36149999499321,1.19319780321131,0.507861947930709,4.02679999659435,inf,1.85791654848718,-28.450127960911175
"(0, 1, 0, 0, 1, 1)",0.11980000138282802,0.919144256825245,1.37999999523163,1.25,3.546965421317,inf,1.28086051025572,-34.4009055447307
"(0, 1, 0, 1, 0, 1)",0.11980000138282802,0.29340117202498406,1.37999999523163,0.596121900982399,8.93900012969971,inf,1.73997129986473,-29.499521655679864
"(0, 1, 0, 1, 1, 0)",0.11980000138282802,0.884351227144993,1.37999999523163,0.617339855246438,2.49831203848156,inf,1.15448733185006,-36.0629175253265
"(0, 1, 1, 0, 0, 1)",0.11980000138282802,0.995463709264879,1.9141557348079001,1.25,8.93900012969971,inf,1.73708020655193,-29.52612897143551
"(0, 1, 1, 0, 1, 0)",0.11980000138282802,0.6207052377984,0.598368189322916,1.25,0.970437801246358,inf,1.54492163139508,-31.401848595083337
"(0, 1, 1, 1, 0, 0)",0.11980000138282802,0.795148342890183,2.01997378176975,0.749111639689685,8.93900012969971,inf,1.78459508992423,-29.094354769902907
"(1, 0, 0, 0, 1, 1)",0.68674017310354,0.36149999499321,1.37999999523163,1.25,1.57268982561562,inf,1.19409610632955,-35.52318751112524
"(1, 0, 0, 1, 0, 1)",0.11868294053204799,0.36149999499321,1.37999999523163,0.747149214562161,8.93900012969971,inf,1.64805122147102,-30.36792336393294
"(1, 0, 0, 1, 1, 0)",0.479250490465789,0.36149999499321,1.37999999523163,2.01322645254775,3.10297317878039,inf,1.23917828541652,-34.93024376542184
"(1, 0, 1, 0, 0, 1)",0.504057569342131,0.36149999499321,2.26221532344588,1.25,8.93900012969971,inf,1.8176230143019,-28.80094577371822
"(1, 0, 1, 0, 1, 0)",0.60281874436629,0.36149999499321,1.22756904772052,1.25,1.29078156163228,inf,1.33042530902239,-33.793440798486294
"(1, 0, 1, 1, 0, 0)",0.646498175095901,0.36149999499321,2.80181208935399,0.558896638543072,8.93900012969971,inf,1.75545204837783,-29.3577971370569
"(1, 1, 0, 0, 0, 1)",0.11080056026904903,0.539610221762652,1.37999999523163,1.25,8.93900012969971,inf,1.68849751354934,-29.979994143631735
"(1, 1, 0, 0, 1, 0)",0.374929977248918,0.748212803592302,1.37999999523163,1.25,1.34387480200291,inf,1.32687257616366,-33.83622392786436
