id,E0,M0,ME,T0,I10,beta,k,p,c,delta,xi,a,d_E,delta_E,K_delta_E,zeta,eta,K_I1,tau_memory,V_sse,CD8TE_sse,CD8TM_sse,sse,PID,delta/delta_E,K_delta_E/delta_E
23750,103189.0874,30390,0,40000000,75,7.46E-05,4,2.524420527,177.0888586,0.410235952,0.101928456,7.234720717,0.259369626,3.844810559,2452.647462,0.022389117,0,10000,0.261380656,1.32451302,0.646646829,0.098847552,2.070007401,103,0.106698613,637.9111335
394012,58043.26409,6913,0,40000000,75,1.63E-06,4,7.036576324,32.8142411,1.586412069,0.273889226,6.855155296,1.088784485,1.246568392,4080.574514,0.022945268,0,10000,0.323024072,1.10194141,0.481765858,0.159694456,1.743401725,107,1.27262337,3273.446158
71200,125441.0287,4481,0,40000000,75,0.00016457,4,1.713488427,231.7832573,0.456424605,0.089138721,10,0.467907087,9.679852526,58644.80597,0.008534963,0,10000,0.252857371,0.02856233,0.058681534,0.063349376,0.15059324,110,0.047152021,6058.440024
94346,133576.321,6364,0,40000000,75,0.00016457,4,3.312914315,474.5109165,0.051757754,1.787298818,5.40015935,0.050411678,0.634770571,2295.234046,0.000986205,0,10000,0.261272931,0.873473321,0.788198446,0.031280454,1.692952222,111,0.081537734,3615.84823
117854,91874.88529,4888,0,40000000,75,2.19E-06,4,9.879417502,38.41433649,2.189303009,0.083350657,4.359371825,0.36427967,9.82602699,1079.109805,0.042188868,0,10000,0.379337771,1.219070848,0.086420917,0.102695825,1.408187589,112,0.222806533,109.8215796
482524,130149.5474,2096,0,40000000,75,0.000857519,4,0.605523567,325.2830836,1.581285485,0.650596897,3.766649946,0.546990924,1.201450125,551.9672049,0.00078074,0,10000,0.992803775,0.447189116,0.368702662,0.054906612,0.87079839,204,1.316147422,459.4174935
165352,1051896.951,17341,0,40000000,75,0.000104436,4,0.169054868,5.417744378,0.071268519,2.639360008,6.651510156,0.416630996,4.412859904,13024.31632,0.00111082,0,10000,0.27072567,0.181046276,0.122258209,0.079711519,0.383016004,207,0.016150188,2951.445685
189824,156531.7518,5364,0,40000000,75,2.42E-06,4,9.762881195,20.26955339,1.471499805,0.441846851,10,0.382041825,0.110620043,349.3840226,0.002943317,0,10000,0.251250194,0.247233105,0.143179382,0.149139705,0.539552191,302,13.30228921,3158.415176
213619,118044.8009,4836,0,40000000,75,6.64E-06,4,4.701985258,19.4373138,0.050657798,1.066175583,4.954321936,0.711169358,6.919979304,1287.740025,0.001951667,0,10000,0.271709947,0.438818325,0.035773232,0.322329036,0.796920593,307,0.007320513,186.0901556
237256,85322.97845,16734,0,40000000,75,6.62E-05,4,1.934060127,137.1700155,0.26668077,0.074119942,7.39207753,0.050325971,6.428596349,4321.420026,0.023072912,0,10000,0.257091844,1.858163842,0.328605246,0.039864032,2.22663312,308,0.041483515,672.2182871
260852,21917.34307,7464,0,40000000,75,7.67E-05,4,2.814254807,167.1544066,3.173883099,0.064683018,10,0.452773305,9.943947086,5392.128524,0.010874766,0,10000,0.43441997,0.059689592,1.281282606,0.050451076,1.391423274,311,0.319177392,542.2523348
284443,95894.7775,6270,0,40000000,75,1.00E-05,4,2.162818264,121.2215353,0.069748688,0.632207237,9.721810936,0.50208605,9.898743302,69234.78945,0.002075679,0,10000,0.347697926,2.856243049,0.190956452,0.038302976,3.085502477,312,0.007046216,6994.300926
303449,125751.1819,7497.81847,0,40000000,75,4.89E-05,4,2.837486445,141.1585686,1.333414921,0.180406414,7.430873227,0.170830079,0.273471469,100000,0.00469016,0,10000,0.266022214,226.6307121,40.7558883,20.60613708,287.9927375,Population,4.875883133,365668.8594
