id,E0,M0,ME,T0,I10,beta,k,p,c,delta,xi,a,d_E,delta_E,K_delta_E,zeta,eta,K_I1,tau_memory,V_sse,CD8TE_sse,CD8TM_sse,sse,PID
13128,125751,7497,0,40000000,75,0.000553787,4,0.107236128,52.72357136,2.175385538,0.18,7.43,0.17,0.01,19000,0.00469,0,10000,0.26,678.7780524,0,0,678.7780524,Population
26310,125751,7497,0,40000000,75,5.34E-06,4,9.097621309,10.89442794,0.972603204,0.18,7.43,0.17,0.751649376,19000,0.00469,0,10000,0.26,8.432522076,0,0,8.432522076,1
39819,125751,7497,0,40000000,75,4.79E-06,4,5.773565575,17.38271266,2.393469364,0.18,7.43,0.17,0.590686049,19000,0.00469,0,10000,0.26,0.008143109,0,0,0.008143109,2
53088,125751,7497,0,40000000,75,0.006444916,4,9.831491523,17.88113341,0.871161306,0.18,7.43,0.17,0.849793268,19000,0.00469,0,10000,0.26,9.655172283,0,0,9.655172283,3
66422,125751,7497,0,40000000,75,2.58E-06,4,3.452652068,17.33169175,4.392609315,0.18,7.43,0.17,0.935038409,19000,0.00469,0,10000,0.26,17.34544659,0,0,17.34544659,4
79444,125751,7497,0,40000000,75,5.47E-05,4,0.881208852,41.70095248,4.992433914,0.18,7.43,0.17,0.305518176,19000,0.00469,0,10000,0.26,1.652101047,0,0,1.652101047,5
92542,125751,7497,0,40000000,75,2.12E-05,4,5.400194202,143.5762948,2.938910528,0.18,7.43,0.17,0.010830261,19000,0.00469,0,10000,0.26,0.656850726,0,0,0.656850726,6
105765,125751,7497,0,40000000,75,2.48E-06,4,5.622526332,18.13206174,4.492080224,0.18,7.43,0.17,0.01,19000,0.00469,0,10000,0.26,6.86095164,0,0,6.86095164,7
119388,125751,7497,0,40000000,75,1.30E-05,4,3.339468033,48.37922954,4.066622552,0.18,7.43,0.17,0.843312048,19000,0.00469,0,10000,0.26,2.029884445,0,0,2.029884445,8
132636,125751,7497,0,40000000,75,0.000106755,4,1.797370626,197.9750517,4.515771098,0.18,7.43,0.17,0.118246865,19000,0.00469,0,10000,0.26,0.047035905,0,0,0.047035905,9
145806,125751,7497,0,40000000,75,2.18E-05,4,1.419383574,84.46369985,1.878438932,0.18,7.43,0.17,0.16244684,19000,0.00469,0,10000,0.26,4.346470877,0,0,4.346470877,11
158974,125751,7497,0,40000000,75,0.000176929,4,0.208365276,47.34877038,1.604078692,0.18,7.43,0.17,0.221246345,19000,0.00469,0,10000,0.26,0.156271723,0,0,0.156271723,12
172102,125751,7497,0,40000000,75,5.83E-05,4,0.413560257,35.02293111,4.111224489,0.18,7.43,0.17,0.049913167,19000,0.00469,0,10000,0.26,3.039174933,0,0,3.039174933,13
