,beta,p,c,delta,xi,a,d_E,delta_E,K_delta_E,zeta,eta,K_I1,tau_memory,ME
103,0.06831663979808689,0.08064412030694379,0.12502699515650403,0.08839984193366295,0.06760641955455433,0.06753673710978368,0.05510954810598811,0.24159733422292343,0.011707204375178583,0.06756337190466478,0.35502947253544753,0.03506846107303936,0.05491213369657261,0.8696798943811267
107,0.05650834156962075,0.11224165647997325,0.8831550122944534,0.22340811098402344,0.00833003288389458,0.004463555915031158,0.013791468975888618,0.7792761121916997,0.01187374170192457,0.00838659494183892,0.7769278240570833,0.045029747297489674,0.008412888857682292,0.8275571992045734
110,0.027291638729556977,0.12727062327569444,0.8609362447718552,0.25270925411180734,0.005891744154790987,0.0038798826089390384,0.003438250316678958,0.09323424356564439,0.0012308594766397081,0.0006317786133067881,0.038676546014839795,0.0008715471020468157,0.0002606394531010635,0.03169872913245916
111,0.02778754808201129,0.15087405539495147,0.9344045878282872,0.015524903887690764,0.035091461250240964,0.1239562849362915,0.0001497133081968606,0.1182880502355666,4.7350154802088375e-06,1.1923159185663194e-06,0.010867863698025613,0.006227543020786545,7.388671284965055e-07,0.010509919880209481
112,0.07162705116642305,0.14610219574068736,0.8995641707570423,0.07323339551632446,0.0010870334862071254,0.0012161143748468768,0.01690244261913323,0.9731689906102556,0.13536204443338207,0.0010892119127156815,0.9601583286576394,0.13522432427996306,0.001309283022004355,0.9590197076717802
204,0.0005243130053038888,0.15518579293147852,0.9913390278471869,0.97598249565281,0.000809218221863188,0.0029368056297267337,0.0003798359661902559,0.0011262264724503698,0.0004572197770081972,0.0005151258199255936,0.0007578458428770016,0.00048083551705037857,0.00045119236835421307,0.0006857200407439688
207,0.021830033277587833,0.052725099550527066,0.8696066124009268,0.0676663112894059,0.06798520095844635,0.06762736495803746,0.03648250931703768,0.5609480062130274,0.05595755088430446,0.0686716781514064,0.5760810591133846,0.052477932656319004,0.06775514713619901,0.6129005248011543
302,0.00039546667744525205,0.14083699571408637,0.9894095424157823,0.9880017347149148,0.00013939421409339645,0.0004508042645099054,0.0007071550940574744,9.250380835172928e-05,0.00037192817326684244,0.000388543757218395,0.00043410179518120023,0.00043765368162462564,0.0004472085706856891,0.0006147772500941489
307,0.06295223782746666,0.06537871771357351,0.88148255861722,0.12499716921231285,0.12499665499694827,0.12499694025636691,0.06757907447928921,0.7681630533061666,0.05490557873818909,0.1249973022999181,0.8166750148980901,0.09255699070523064,0.12499711340872123,0.12501081731357197
308,0.09722201014114844,0.0971761023143599,0.9670350361335496,0.0031624565179180536,0.001481436713821862,0.00147363075949975,0.0008658045953232269,0.9791858078539472,0.12058943592429602,0.00161682985447849,0.9780448699022153,0.08670843036860071,0.0014802465346132926,0.9766095725793138
311,0.049829773095876696,0.15786270806182146,0.9477304965250091,0.5830571976836506,0.004291917375077774,0.005813955638120391,0.0030818015215128437,0.5034172598418866,0.02875806744157934,0.00602552787639917,0.5030395093876986,0.03599844113924324,0.005855164911923851,0.5197687852562048
312,0.1267405193551252,0.10592671097922518,0.9474393079339174,0.0021303815297233322,0.005645551090688224,0.0008098038809935623,0.0820540594993665,0.36405918643395613,0.11787537055669539,0.00808823230912124,0.13796230520124833,0.10195673376310402,0.007919050221605979,0.21241571811525484
