,beta,p,c,delta,xi,a,d_E,delta_E,K_delta_E,zeta,tau_memory
103,0.0025126575804896856,0.2655668519899749,0.9862964817599414,0.8528865355868148,0.020646145587572273,0.013951168854112517,0.002965149540477996,0.021098793501322932,0.0021863377935835704,0.002181971343726552,0.0022348674826347947
107,0.008795113719742509,0.20463948032643675,0.8871289147929888,0.9937610862450726,0.003726776867164716,0.004997808658452674,0.0027292470164774763,0.003762534282789276,0.0028166744810365074,0.0029549929997640945,0.002826844412639584
110,0.006166543474767305,0.16603666689472785,0.967696186344546,0.6906879696345557,0.042184374220109344,0.019753170237218898,0.007442629106443777,0.054924847712402025,0.0035524226168038853,0.0038426948340458678,0.003562643531805021
111,0.0038307092135692056,0.21288837755500434,0.9405530373693133,0.028777038554891554,0.11189898144905108,0.28680985112956137,0.0003132702629043971,0.10978089416180625,0.00018132030358020135,0.0001927548906873744,0.00018083843710070546
112,0.00919911035396137,0.1854485270680032,0.985010768963621,0.9934124619867897,0.009497173918876722,0.013672609431258698,0.008608600516497256,0.008765663756732822,0.00841341791393635,0.009177523608333904,0.008951304725678955
204,0.008608918628471685,0.18652875542284497,0.9992710374214102,0.9947059800621725,0.00893006934524887,0.007145027331015852,0.008437727891666968,0.009019806533732355,0.008733471101161072,0.009142376184880674,0.009068422988433023
207,0.01151312888934597,0.23216749518114788,0.9423275620856144,0.013238712896915028,0.04079046924390983,0.7095448060749827,0.0173215710560245,0.06075449521820486,0.011081793330771417,0.011485738411050828,0.01094318634761482
302,0.0077796921536194,0.1873761982892257,0.9991051888048192,0.9997916325984699,0.008995381472808761,0.007712312820380984,0.007425081520951338,0.008752550405479953,0.008247100178018885,0.007474566460890508,0.007451713885797684
307,0.005205856244197227,0.23764748477946263,0.9636934621062087,0.012037514862750398,0.050465092051858895,0.6531345810099409,0.004680872418028947,0.058413126416416716,0.002428206660795351,0.002433368881669562,0.0024349623759010175
308,0.0015608193795435543,0.267707351550699,0.967325355573241,0.5470246972802426,0.038478664452935685,0.034750592587204254,0.0011225854226448728,0.03851351714524032,0.0009372686009522235,0.0009522542755190377,0.0009330359497295992
311,0.009527991068635222,0.277135033381154,0.9975706497888013,0.9885388813935294,0.010507256983800839,0.008818682623730867,0.009498718773461312,0.00911096800768374,0.008434136777084489,0.009004067311047081,0.008554674329296685
312,0.07667094145310438,0.26193366880503177,0.7816538592977914,0.03287957035981304,0.16387042032348864,0.6365324462517314,0.03078857932332757,0.18015032136109643,0.027494443608870323,0.028218996840658317,0.027485865207679594
