,beta,p,c,delta,xi,a,d_E,delta_E,K_delta_E,zeta,eta,K_I1,tau_memory,ME
103,0.2906244188766238,0.3072922972587241,0.8750016309200547,0.6384772606743638,0.5189803679759211,0.5185647135731977,0.4175508545428457,0.9010748740055093,0.11486835808177664,0.5185685415210275,0.9120873387333964,0.14444957509473277,0.4175794793323866,0.9854153475182585
107,0.203823142070781,0.2381751568350795,0.9724044275725671,0.6801457799910766,0.07393997109856154,0.07880543854095212,0.06491097287549052,0.9407186781994449,0.059215693790781176,0.07368589061262609,0.9379134518597086,0.1844537985572462,0.07462518714851996,0.980648228397086
110,0.06168073992614986,0.22927252133349607,0.8852578657449741,0.3130472411714904,0.014167171136818424,0.012147027580443726,0.007973448942421801,0.11218801797009281,0.01893300515119256,0.00794787962698329,0.04667103097420011,0.007171089872010317,0.007105453065973655,0.03887668255076193
111,0.06882937722196836,0.21743384287597278,0.9455277729586254,0.01865697240909281,0.03932926693570804,0.13232520389322855,0.00029871571765061056,0.12601127708890436,0.0001475702406087409,0.00014508080921016298,0.011556026652725593,0.03562865902216117,0.00014984482005431232,0.01109396473521762
112,0.20973590563828814,0.41880388353357656,0.9220343371904297,0.12702485817520037,0.014462553167379988,0.01570129383040819,0.02977307432958931,0.9842285867377453,0.1756025313334827,0.014458758363369961,0.9724337995032252,0.2710684145096047,0.016306992692620148,0.9712532763290341
204,0.008540153086408986,0.26996869207087015,0.9993303780930402,0.989974231482882,0.009172393965442782,0.012722771508789088,0.00877785273643339,0.009859843546693225,0.00856304293670851,0.008998738790107375,0.009337554739980991,0.008903852290556236,0.008542967414274405,0.009782048475386884
207,0.09621433838876137,0.17101000045640857,0.9849371730544272,0.5190735608013575,0.5201534091260438,0.519711491205638,0.3291868256767011,0.9416099360382058,0.3010202358092231,0.5244262094107631,0.9523970401660925,0.23566823286449556,0.5190531038375079,0.9595119367406506
302,0.00831990695212903,0.18608937813055826,0.9985732162175891,0.9970286817804358,0.007642376928559735,0.007634896295205751,0.008074851464078714,0.007800743779162511,0.007494851598172425,0.007547283812404104,0.00812150588971372,0.007853525331435462,0.008139094203202912,0.007945253705866517
307,0.37573672920542445,0.3860697473106768,0.9651248094246622,0.8749829006335512,0.8749806037123188,0.8749815517624816,0.5185651388745824,0.9756757550670542,0.417466398609907,0.874983847437547,0.9808522950750448,0.3773401267082779,0.8749829100563997,0.875001855960313
308,0.7507915312762578,0.7505811417652641,0.9810386618388163,0.02516135752640669,0.020648139583120395,0.020607160692853954,0.018950833308776227,0.9952166439011373,0.2655358582189645,0.021740990605003896,0.9949141475358346,0.6307616907827052,0.020744848750154365,0.9938199201932219
311,0.1506803196607489,0.2526398740081428,0.9884990702050508,0.6676659826829536,0.03217567504416663,0.03090368337609395,0.03039138398781538,0.5711970431692621,0.10548558573772204,0.03106715455203568,0.5643694279364603,0.1157437773610277,0.03050621597326253,0.6156331408512099
312,0.44744310981565816,0.35895583095833716,0.9844200289684436,0.04165415342955581,0.06813762749427998,0.029776068807444322,0.6122050795244982,0.9151370102221299,0.5420966981958362,0.07901617742789879,0.8771979185114517,0.4821362927808954,0.07919920074001718,0.8934097920978249
